POS,TEAM,,P,W,D,L,F,A,,W,D,L,F,A,,W,D,L,F,A,,GD,PTS


1,Bayern Munich,,1,1,0,0,5,0,,1,0,0,5,0,,0,0,0,0,0,,5,3
2,FC Cologne,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0
2,Borussia Dortmund,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0
2,Eintracht Frankfurt,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0
2,Hertha Berlin,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0
2,Bayer Leverkusen,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0
2,Schalke 04,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0
2,VfB Stuttgart,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0
2,Werder Bremen,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0
2,VfL Wolfsburg,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0
2,Borussia Monchengladbach,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0
2,Hannover 96,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0
2,Mainz,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0
2,SV Darmstadt 98,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0
2,FC Augsburg,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0
2,FC Ingolstadt 04,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0
2,TSG Hoffenheim,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0
18,Hamburg SV,,1,0,0,1,0,5,,0,0,0,0,0,,0,0,1,0,5,,-5,0
