POS,TEAM,,P,W,D,L,F,A,,W,D,L,F,A,,W,D,L,F,A,,GD,PTS


1,Bayern Munich,,1,1,0,0,5,0,,1,0,0,5,0,,0,0,0,0,0,,5,3
2,Schalke 04,,1,1,0,0,3,0,,0,0,0,0,0,,1,0,0,3,0,,3,3
3,Bayer Leverkusen,,1,1,0,0,2,1,,1,0,0,2,1,,0,0,0,0,0,,1,3
4,Hertha Berlin,,1,1,0,0,1,0,,0,0,0,0,0,,1,0,0,1,0,,1,3
4,FC Ingolstadt 04,,1,1,0,0,1,0,,0,0,0,0,0,,1,0,0,1,0,,1,3
6,Hannover 96,,1,0,1,0,2,2,,0,0,0,0,0,,0,1,0,2,2,,0,1
6,SV Darmstadt 98,,1,0,1,0,2,2,,0,1,0,2,2,,0,0,0,0,0,,0,1
8,FC Cologne,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0
8,Borussia Dortmund,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0
8,Eintracht Frankfurt,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0
8,VfB Stuttgart,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0
8,VfL Wolfsburg,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0
8,Borussia Monchengladbach,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0
14,TSG Hoffenheim,,1,0,0,1,1,2,,0,0,0,0,0,,0,0,1,1,2,,-1,0
15,Mainz,,1,0,0,1,0,1,,0,0,1,0,1,,0,0,0,0,0,,-1,0
15,FC Augsburg,,1,0,0,1,0,1,,0,0,1,0,1,,0,0,0,0,0,,-1,0
17,Werder Bremen,,1,0,0,1,0,3,,0,0,1,0,3,,0,0,0,0,0,,-3,0
18,Hamburg SV,,1,0,0,1,0,5,,0,0,0,0,0,,0,0,1,0,5,,-5,0
